全国地方公共団体コード,都道府県名,市区町村名,期間_始め,期間_終わり,陽性患者_合計,10歳未満・無症状・0回接種,10歳未満・無症状・1回接種,10歳未満・無症状・2回接種,10歳未満・無症状・3回接種,10歳未満・無症状・4回接種,10歳未満・軽症・0回接種,10歳未満・軽症・1回接種,10歳未満・軽症・2回接種,10歳未満・軽症・3回接種,10歳未満・軽症・4回接種,10歳未満・中等症・0回接種,10歳未満・中等症・1回接種,10歳未満・中等症・2回接種,10歳未満・中等症・3回接種,10歳未満・中等症・4回接種,10歳未満・重症・0回接種,10歳未満・重症・1回接種,10歳未満・重症・2回接種,10歳未満・重症・3回接種,10歳未満・重症・4回接種,10歳代・無症状・0回接種,10歳代・無症状・1回接種,10歳代・無症状・2回接種,10歳代・無症状・3回接種,10歳代・無症状・4回接種,10歳代・軽症・0回接種,10歳代・軽症・1回接種,10歳代・軽症・2回接種,10歳代・軽症・3回接種,10歳代・軽症・4回接種,10歳代・中等症・0回接種,10歳代・中等症・1回接種,10歳代・中等症・2回接種,10歳代・中等症・3回接種,10歳代・中等症・4回接種,10歳代・重症・0回接種,10歳代・重症・1回接種,10歳代・重症・2回接種,10歳代・重症・3回接種,10歳代・重症・4回接種,20歳代・無症状・0回接種,20歳代・無症状・1回接種,20歳代・無症状・2回接種,20歳代・無症状・3回接種,20歳代・無症状・4回接種,20歳代・軽症・0回接種,20歳代・軽症・1回接種,20歳代・軽症・2回接種,20歳代・軽症・3回接種,20歳代・軽症・4回接種,20歳代・中等症・0回接種,20歳代・中等症・1回接種,20歳代・中等症・2回接種,20歳代・中等症・3回接種,20歳代・中等症・4回接種,20歳代・重症・0回接種,20歳代・重症・1回接種,20歳代・重症・2回接種,20歳代・重症・3回接種,20歳代・重症・4回接種,30歳代・無症状・0回接種,30歳代・無症状・1回接種,30歳代・無症状・2回接種,30歳代・無症状・3回接種,30歳代・無症状・4回接種,30歳代・軽症・0回接種,30歳代・軽症・1回接種,30歳代・軽症・2回接種,30歳代・軽症・3回接種,30歳代・軽症・4回接種,30歳代・中等症・0回接種,30歳代・中等症・1回接種,30歳代・中等症・2回接種,30歳代・中等症・3回接種,30歳代・中等症・4回接種,30歳代・重症・0回接種,30歳代・重症・1回接種,30歳代・重症・2回接種,30歳代・重症・3回接種,30歳代・重症・4回接種,40歳代・無症状・0回接種,40歳代・無症状・1回接種,40歳代・無症状・2回接種,40歳代・無症状・3回接種,40歳代・無症状・4回接種,40歳代・軽症・0回接種,40歳代・軽症・1回接種,40歳代・軽症・2回接種,40歳代・軽症・3回接種,40歳代・軽症・4回接種,40歳代・中等症・0回接種,40歳代・中等症・1回接種,40歳代・中等症・2回接種,40歳代・中等症・3回接種,40歳代・中等症・4回接種,40歳代・重症・0回接種,40歳代・重症・1回接種,40歳代・重症・2回接種,40歳代・重症・3回接種,40歳代・重症・4回接種,50歳代・無症状・0回接種,50歳代・無症状・1回接種,50歳代・無症状・2回接種,50歳代・無症状・3回接種,50歳代・無症状・4回接種,50歳代・軽症・0回接種,50歳代・軽症・1回接種,50歳代・軽症・2回接種,50歳代・軽症・3回接種,50歳代・軽症・4回接種,50歳代・中等症・0回接種,50歳代・中等症・1回接種,50歳代・中等症・2回接種,50歳代・中等症・3回接種,50歳代・中等症・4回接種,50歳代・重症・0回接種,50歳代・重症・1回接種,50歳代・重症・2回接種,50歳代・重症・3回接種,50歳代・重症・4回接種,60歳代・無症状・0回接種,60歳代・無症状・1回接種,60歳代・無症状・2回接種,60歳代・無症状・3回接種,60歳代・無症状・4回接種,60歳代・軽症・0回接種,60歳代・軽症・1回接種,60歳代・軽症・2回接種,60歳代・軽症・3回接種,60歳代・軽症・4回接種,60歳代・中等症・0回接種,60歳代・中等症・1回接種,60歳代・中等症・2回接種,60歳代・中等症・3回接種,60歳代・中等症・4回接種,60歳代・重症・0回接種,60歳代・重症・1回接種,60歳代・重症・2回接種,60歳代・重症・3回接種,60歳代・重症・4回接種,70歳代・無症状・0回接種,70歳代・無症状・1回接種,70歳代・無症状・2回接種,70歳代・無症状・3回接種,70歳代・無症状・4回接種,70歳代・軽症・0回接種,70歳代・軽症・1回接種,70歳代・軽症・2回接種,70歳代・軽症・3回接種,70歳代・軽症・4回接種,70歳代・中等症・0回接種,70歳代・中等症・1回接種,70歳代・中等症・2回接種,70歳代・中等症・3回接種,70歳代・中等症・4回接種,70歳代・重症・0回接種,70歳代・重症・1回接種,70歳代・重症・2回接種,70歳代・重症・3回接種,70歳代・重症・4回接種,80歳以上・無症状・0回接種,80歳以上・無症状・1回接種,80歳以上・無症状・2回接種,80歳以上・無症状・3回接種,80歳以上・無症状・4回接種,80歳以上・軽症・0回接種,80歳以上・軽症・1回接種,80歳以上・軽症・2回接種,80歳以上・軽症・3回接種,80歳以上・軽症・4回接種,80歳以上・中等症・0回接種,80歳以上・中等症・1回接種,80歳以上・中等症・2回接種,80歳以上・中等症・3回接種,80歳以上・中等症・4回接種,80歳以上・重症・0回接種,80歳以上・重症・1回接種,80歳以上・重症・2回接種,80歳以上・重症・3回接種,80歳以上・重症・4回接種,不明・無症状・0回接種,不明・無症状・1回接種,不明・無症状・2回接種,不明・無症状・3回接種,不明・無症状・4回接種,不明・軽症・0回接種,不明・軽症・1回接種,不明・軽症・2回接種,不明・軽症・3回接種,不明・軽症・4回接種,不明・中等症・0回接種,不明・中等症・1回接種,不明・中等症・2回接種,不明・中等症・3回接種,不明・中等症・4回接種,不明・重症・0回接種,不明・重症・1回接種,不明・重症・2回接種,不明・重症・3回接種,不明・重症・4回接種,備考,NO
221309,静岡県,浜松市,2021-08-16,2021-11-11,1936,49,0,0,,,114,0,0,,,0,0,0,,,0,0,0,,,40,6,2,,,201,19,2,,,1,0,0,,,0,0,0,,,20,5,6,,,357,52,12,,,3,0,0,,,0,0,0,,,23,5,4,,,241,31,8,,,3,0,0,,,0,0,0,,,19,3,2,,,198,48,12,,,11,1,0,,,0,0,0,,,15,6,3,,,128,56,20,,,11,2,0,,,0,0,0,,,0,1,7,,,50,12,18,,,5,2,1,,,1,0,0,,,2,3,7,,,8,8,17,,,5,1,1,,,1,0,0,,,2,0,4,,,8,1,21,,,8,0,2,,,0,0,0,,,0,0,0,,,1,0,0,,,0,0,0,,,0,0,0,,,,1
221309,静岡県,浜松市,2021-08-16,2021-11-18,1944,49,0,0,,,114,0,0,,,0,0,0,,,0,0,0,,,40,6,2,,,201,19,2,,,1,0,0,,,0,0,0,,,20,5,6,,,357,52,12,,,3,0,0,,,0,0,0,,,23,5,4,,,241,31,8,,,3,0,0,,,0,0,0,,,19,3,2,,,198,48,12,,,11,1,0,,,0,0,0,,,15,6,4,,,128,56,20,,,11,2,0,,,0,0,0,,,0,1,7,,,50,12,18,,,5,2,1,,,1,0,0,,,2,3,7,,,8,8,17,,,5,1,1,,,1,0,0,,,2,0,7,,,8,1,25,,,8,0,2,,,0,0,0,,,0,0,0,,,1,0,0,,,0,0,0,,,0,0,0,,,,2
221309,静岡県,浜松市,2021-08-16,2021-12-02,1945,49,0,0,,,114,0,0,,,0,0,0,,,0,0,0,,,40,6,2,,,201,19,2,,,1,0,0,,,0,0,0,,,20,5,6,,,357,52,12,,,3,0,0,,,0,0,0,,,23,5,4,,,241,31,8,,,3,0,0,,,0,0,0,,,19,3,2,,,198,48,12,,,11,1,0,,,0,0,0,,,15,6,5,,,128,56,20,,,11,2,0,,,0,0,0,,,0,1,7,,,50,12,18,,,5,2,1,,,1,0,0,,,2,3,7,,,8,8,17,,,5,1,1,,,1,0,0,,,2,0,7,,,8,1,25,,,8,0,2,,,0,0,0,,,0,0,0,,,1,0,0,,,0,0,0,,,0,0,0,,,,3
221309,静岡県,浜松市,2021-08-16,2021-12-16,1946,49,0,0,,,114,0,0,,,0,0,0,,,0,0,0,,,40,6,2,,,201,19,2,,,1,0,0,,,0,0,0,,,20,5,6,,,357,52,12,,,3,0,0,,,0,0,0,,,23,5,4,,,241,31,8,,,3,0,0,,,0,0,0,,,19,3,2,,,198,48,13,,,11,1,0,,,0,0,0,,,15,6,5,,,128,56,20,,,11,2,0,,,0,0,0,,,0,1,7,,,50,12,18,,,5,2,1,,,1,0,0,,,2,3,7,,,8,8,17,,,5,1,1,,,1,0,0,,,2,0,7,,,8,1,25,,,8,0,2,,,0,0,0,,,0,0,0,,,1,0,0,,,0,0,0,,,0,0,0,,,,4
221309,静岡県,浜松市,2021-08-16,2022-01-06,1969,49,0,0,,,115,0,0,,,0,0,0,,,0,0,0,,,40,6,2,,,201,19,3,,,1,0,0,,,0,0,0,,,23,5,6,,,359,52,15,,,4,0,0,,,0,0,0,,,23,5,5,,,241,31,10,,,3,0,0,,,0,0,0,,,19,3,2,,,198,48,17,,,11,1,0,,,0,0,0,,,15,6,8,,,128,56,21,,,11,2,0,,,0,0,0,,,0,1,7,,,50,12,18,,,5,2,1,,,1,0,0,,,3,3,7,,,8,8,17,,,5,1,1,,,1,0,0,,,2,0,7,,,8,1,25,,,8,0,2,,,0,0,0,,,0,0,0,,,1,0,0,,,0,0,0,,,0,0,0,,,,5
221309,静岡県,浜松市,2021-08-16,2022-01-13,2464,54,0,0,,,142,0,0,,,0,0,0,,,0,0,0,,,49,6,5,,,229,19,78,,,1,0,0,,,0,0,0,,,28,5,17,,,392,56,149,,,4,0,0,,,0,0,0,,,26,5,11,,,250,32,55,,,3,0,0,,,0,0,0,,,20,3,7,,,208,48,56,,,11,1,0,,,0,0,0,,,15,6,11,,,130,56,39,,,11,2,0,,,0,0,0,,,0,1,8,,,55,12,24,,,5,2,1,,,1,0,0,,,3,3,9,,,8,8,20,,,5,1,1,,,1,0,0,,,3,0,7,,,8,1,26,,,8,0,2,,,0,0,0,,,0,0,0,,,1,0,0,,,0,0,0,,,0,0,0,,,,6
221309,静岡県,浜松市,2021-08-16,2022-01-20,3717,83,0,0,0,,228,0,0,0,,0,0,0,0,,0,0,0,0,,65,7,28,0,,304,25,322,1,,1,0,1,0,,0,0,0,0,,35,5,39,1,,447,61,359,1,,4,0,0,0,,0,0,0,0,,28,5,17,1,,270,32,152,0,,4,0,0,0,,0,0,0,0,,20,3,17,0,,221,48,184,1,,11,1,0,0,,0,0,0,0,,17,6,24,0,,133,56,128,1,,11,2,0,0,,0,0,0,0,,0,1,10,0,,55,12,53,0,,5,2,1,0,,1,0,0,0,,4,3,12,0,,8,8,41,0,,5,1,2,0,,1,0,0,0,,3,0,14,0,,10,1,41,0,,8,0,3,0,,1,0,0,0,,0,0,0,0,,1,0,0,0,,0,0,0,0,,0,0,0,0,,,7
221309,静岡県,浜松市,2022-01-01,2022-01-27,3675,63,0,0,0,,353,0,0,0,,0,0,0,0,,0,0,0,0,,46,1,48,0,,256,11,587,1,,0,0,1,0,,0,0,0,0,,21,0,43,2,,151,13,558,2,,1,0,0,0,,0,0,0,0,,10,0,25,2,,71,3,333,3,,2,0,0,0,,0,0,1,0,,5,1,40,0,,52,0,390,7,,0,0,1,0,,0,0,0,0,,6,0,26,0,,19,0,251,1,,1,0,0,0,,0,0,0,0,,1,0,12,0,,8,0,99,0,,0,0,1,0,,0,0,0,0,,3,0,9,0,,1,0,65,0,,0,0,3,0,,0,0,0,0,,3,0,12,0,,3,0,43,0,,0,0,3,0,,1,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,8
221309,静岡県,浜松市,2022-01-01,2022-02-03,6219,126,0,0,0,,706,0,0,0,,0,0,0,0,,0,0,0,0,,63,1,68,0,,443,15,735,1,,0,0,1,0,,0,0,0,0,,30,2,60,3,,251,18,804,2,,2,0,0,0,,0,0,0,0,,20,0,44,3,,148,4,627,12,,2,0,2,0,,0,0,1,0,,8,1,63,2,,99,5,668,10,,1,0,2,0,,0,0,0,0,,14,1,37,0,,44,0,459,6,,2,0,0,0,,0,0,0,0,,1,0,18,2,,17,0,210,4,,1,0,3,0,,0,0,0,0,,3,0,25,0,,9,0,155,3,,0,0,6,0,,0,0,0,0,,4,0,18,0,,14,0,90,5,,1,0,11,2,,1,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,9
221309,静岡県,浜松市,2022-01-01,2022-02-09,8240,188,0,0,0,,1025,0,0,0,,0,0,0,0,,0,0,0,0,,78,2,81,0,,580,20,878,1,,0,0,1,0,,0,0,0,0,,35,3,67,5,,306,19,969,7,,2,0,0,0,,0,0,0,0,,24,1,64,9,,194,9,829,19,,2,0,2,0,,0,0,1,0,,12,1,85,4,,142,6,884,27,,1,0,4,0,,0,0,0,0,,16,1,47,0,,57,0,582,11,,2,0,1,0,,0,0,0,0,,2,0,35,4,,28,0,297,10,,2,0,4,0,,0,0,0,0,,4,0,45,2,,12,0,216,12,,2,0,7,0,,1,0,0,0,,5,0,35,3,,21,0,151,17,,1,0,14,5,,1,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,10
